SMILES,Density,Tg,Tm
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,1.157,65.0,228.0
*CCCOC(=O)CCCCC(=O)O*,1.271,-55.0,36.5
*CC(*)(F)C(=O)OCC(F)(F)F,1.5868,124.0,214.0
*CCOC(=O)c1ccc(O*)cc1,1.39,84.0,223.0
*CCOC(=O)c1ccc(C(=O)O*)cc1,1.38,77.0,253.0
*Oc1ccc(-c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,1.39,185.5,315.0
*CCCCCC(=O)O*,1.135,-60.0,59.0
*c1cccc(S(=O)(=O)NCCCCCCNS(*)(=O)=O)c1,1.4,67.0,185.0
*CCCCCCNC(=O)C(OC)C(OC)C(=O)N*,1.16,106.0,230.2
*CCC(C)C(*)C,0.9,-26.0,135.0
*CC(*)OCC(C)C,0.93,-22.0,167.5
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,1.4505,310.0,400.0
*CC(*)CC[Si](C)(C)C,0.898,132.0,206.0
*N=P(*)(OCC(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)F,2.02,-52.5,310.0
*CCCCCCCCCCCCC(=O)N*,1.029,41.0,183.0
*CCCOC(=O)c1cccc(C(=O)O*)c1,1.207,36.0,127.5
*CC(*)CCCCCCCCCCCCCCCC,0.8969,55.0,68.0
*CCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.109,5.5,112.5
*CC(CCl)O*,1.367,-23.3,117.0
*OC1C(C)(C)C(OC(*)=O)C1(C)C,1.094,160.0,246.0
*CC(*)N1CCCC1=O,1.2,158.0,119.51
*OC1C(CO)OC(*)C(N)C1O,1.128,194.0,226.0
*Oc1ccc(C(c2ccccc2)c2ccc(OC(*)=O)cc2C)c(C)c1,1.26,182.0,222.0
*CC/C(C)=C(/*)C,0.905,4.0,198.0
*C*,0.9362,-54.0,131.0
*Nc1ccc(*)cc1OC,1.192,90.0,46.56
*Oc1c(Br)cc(C(C)(C)c2cc(Br)c(OC(*)=O)c(Br)c2)cc1Br,1.95,228.5,271.5
*Oc1ccc(C(C)(CC)c2ccc(OC(*)=O)cc2)cc1,1.18,136.0,222.0
*/C=C/CC*,0.89,-91.0,33.0
*CC(*)Cc1ccc(C)cc1,1.035,65.0,240.0
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(*)cc5)c4)cc3)cc2)cc1,1.374,159.0,309.5
*CC(*)C(C)C,0.906,60.0,306.0
*CCCCCCCCCCC(Cl)C(*)Cl,1.1,-32.0,40.0
*CC1CCC(COC(=O)CCC(=O)O*)CC1,1.259,-1.0,146.0
*N=P(*)(C)C,1.267,-42.0,146.0
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,0.9261,82.0,180.0
*O[Si](*)(CCC)CCC,0.9925,-77.5,206.0
*CCCCCCCCCC(=O)N*,1.0535,43.0,181.0
*Oc1cccc(Oc2cccc(*)c2)c1C#N,1.38,145.0,340.0
*C(=O)OCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,1.38,280.0,360.0
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(C)c2)cc1C,1.167,124.0,170.0
*Oc1ccc(C(C)(c2ccccc2)c2ccc(OC(*)=O)cc2)cc1,1.21,179.0,230.0
*CC(*)C(=O)O,1.42,115.0,131.0
*CC(*)C(=O)OC(C)(C)C,1.18,40.0,200.0
*CC(CCCCCCCCCC)O*,0.862,-41.0,102.5
*CCOC(=O)CCCCCC(=O)O*,1.278,-46.0,32.5
*CC(*)(C)C,0.912,-72.0,5.0
*O[Si](C)(C)c1ccc([Si](*)(C)C)cc1,1.102,-18.0,148.0
*CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,1.04,56.5,172.75
*CCCCCCNC(=O)CCCCCC(=O)N*,1.135,54.0,226.5
*CCCCNC(=O)CC(=O)N*,1.324,73.0,276.0
*/C=C/c1ccc(*)cc1,1.2615,240.0,222.0
*CC(C)(C)COC(=O)CCC(=O)O*,1.17,-18.0,85.0
*CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N*,1.02,49.0,182.0
*CCCCCCCCCCC(=O)N*,1.04,46.0,190.0
*CC(CC)(CC)C(=O)O*,1.05,60.0,244.25
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4cccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccc(*)cc8C7=O)cc6)cc5)c4)cc3)cc1)C2=O,1.4225,222.0,367.9
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(*)=O)c(Cl)c2)cc1Cl,1.24,154.0,167.0
*CC(*)C(=O)NC(C)C,1.159,134.62,172.5
*N=P(*)(OCCOc1ccc(/N=N/c2ccc(CCCC)cc2)cc1)OCCOc1ccc(/N=N/c2ccc(CCCC)cc2)cc1,1.3,80.0,177.0
*CC1CCC(COC(=O)C2CCC(C(=O)O*)CC2)CC1,1.14,77.0,246.0
*CC(C)(C)CO*,0.985,-50.0,64.0
*c1ccc(*)[nH]1,0.93,103.0,270.0
*CC(*)Cl,1.394,80.0,212.0
*CCCCCCCNC(=O)CCCCCC(=O)N*,1.108,55.0,208.0
*CCCC(Cl)C(*)Cl,1.4,42.0,175.0
*N=P(*)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,1.825,20.65,420.0
*CCCCCCCCNC(=O)CC(=O)N*,1.152,55.0,233.0
*OC(*)C,1.1055,-19.5,165.0
*CC(C)(C)O*,1.0865,40.5,158.0
*CC(*)F,1.38,41.0,200.0
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)cc2)cc1,1.138,148.0,200.0
*c1ccc(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc(*)nc7ccccc67)cc5)cc4)c4ccccc4n3)cc2)cc1,1.26,300.0,483.0
*Oc1ccc(C(C)(CCC)c2ccc(OC(*)=O)cc2)cc1,1.1445,137.0,220.0
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N*,1.021,48.0,175.0
*CCCCCCCCO*,1.03,-13.0,79.75
*CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.03,36.0,181.5
*CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N*,1.024,46.0,176.0
*CCOCCOC(=O)c1ccc(-c2ccc(C(=O)O*)cc2)cc1,1.32,50.0,141.75
*CCCO*,1.14,-73.6,34.9
*CCCCCCCCCCOC(=O)c1cccc(C(=O)O*)c1,1.034,-22.5,36.0
*CC(*)(C)C(=O)OC,1.19,108.0,157.0
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,1.398,154.0,366.0
*c1cc(CCCCCCCC)c(*)s1,1.055,-9.2,164.0
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(*)=O)c(Cl)c2)cc1Cl,1.415,227.0,264.0
*Oc1ccc(C(C)c2ccc(OC(*)=O)cc2)cc1,1.22,130.0,195.0
*CCCCCCNC(=O)CCCCCCCC(=O)N*,1.1035,42.3,212.6
*CCCCCCC(=O)O*,1.076,-14.0,81.0
